ï»¿Year,File,Start,End
,,,
2009,,,
,2009_0501_114846,11:47:54,11:51:46
,,,
2010,,,
,,,
2011,2011_0419_162644,16:27:18,
,2011_0419_163312,,16:40:14
,,,
2012,2012_0417_145040,14:50:45,14:57:13
,,,
2013,2013_0405_120622,12:06:15,12:12:43
,,,
2014,2014_0424_165427,16:54:27,
,2014_0424_170101,,17:07:35
,,,
2015,2015_0408_120249,12:01:48,
,2015_0408_121160,,12:21:05
,2015_1019_120436,11:03:19,11:08:28
,,,
2016,2016_0513_151541,15:15:24,15:23:22
